Date,Gred AA,Gred A,Gred B,Gred C,Gred D,Gred E
7.1.2015,42,41,40,39,38,36
14.1.2015,42,41,40,39,38,36
21.1.2015,42,41,40,39,38,36
28.1.2015,42,41,40,39,38,36
6.1.2015,42,41,40,39,38,36
10.2.2015,40,39,38,37,36,34
18.2.2015,40,39,38,37,36,34
25.2.2015,37,36,35,34,33,31
4.3.2015,37,36,35,34,33,31
5.3.2015,39,38,37,36,35,33
13.3.2015,39,38,37,36,35,33
18.3.2015,38,37,36,34,33,30
24.3.2015,36,35,34,32,31,28
1.4.2015,34,33,32,30,28,25
7.4.2015,34,33,32,30,28,25
14.4.2015,34,33,32,30,28,25
17.4.2015,36,35,33,30,28,25
20.4.2015,36,35,33,30,28,25
28.4.2015,36,35,35,33,28,25
6.5.2015,36,34,32,29,27,24
11.5.2015,36,34,32,29,27,24
19.5.2015,33,32,30,27,25,22
26.5.2015,33,32,30,28,26,23
1.6.2015,33,32,30,28,26,23
9.6.2015,33,32,30,28,26,23
16.6.2015,33,32,30,28,26,23
23.6.2015,34,33,31,29,27,24
30.6.2015,34,33,31,29,27,24
7.7.2015,32,31,30,28,26,24
14.7.2015,32,31,30,28,26,24
28.7.2015,34,33,30,27,24,21
4.8.2015,34,33,30,27,24,21
10.8.2015,35,34,32,29,27,24
17.8.2015,35,34,32,29,27,24
25.8.2015,35,34,33,31,30,27
1.9.2015,35,34,33,31,30,27
2.9.2015,36,35,34,33,32,29
8.9.2015,36,35,34,33,32,29
16.9.2015,38,37,36,35,34,31
21.9.2015,38,37,36,35,34,31
28.9.2015,38,37,36,35,34,31
5.10.2015,38,37,36,35,34,31
15.10.2015,39,38,37,36,35,32
20.10.2015,38,37,36,35,34,31
28.10.2015,38,37,36,35,34,31
3.11.2015,36,35,34,32,31,28
4.11.2015,34,33,32,31,29,26
9.11.2015,34,33,32,31,29,26
17.11.2015,34,33,32,31,29,26
25.11.2015,35,34,33,32,30,27
1.12.2015,35,34,33,32,30,27
10.12.2015,35,34,33,32,30,27
16.12.2015,34,33,32,31,29,26
22.12.2015,32,31,30,29,27,24
30.12.2015,32,31,30,29,27,24
5.1.2016,32,31,29,28,25,22
12.1.2016,32,31,29,28,25,22
19.1.2016,33,32,30,29,27,24
26.1.2016,34,33,31,30,28,25
3.2.2016,34,33,31,30,28,25
15.2.2016,34,33,31,30,28,25
24.2.2016,34,33,31,30,28,25
25.2.2016,34,33,31,30,28,25
8.3.2016,34,33,32,31,30,27
15.3.2016,34,33,32,31,30,27
22.3.2016,34,33,32,31,30,27
5.4.2016,32,31,30,29,28,25
18.4.2016,32,31,30,29,26,23
26.4.2016,32,31,30,29,26,23
4.5.2016,32,31,30,29,26,23
12.5.2016,32,31,30,29,26,23
17.5.2016,32,31,30,29,26,23
24.5.2016,32,31,30,29,26,23
2.6.2016,32,31,30,29,26,23
6.6.2016,38,37,36,34,30,27
14.6.2016,38,37,36,34,30,27
22.6.2016,38,37,36,34,30,27
27.6.2016,35,33,32,31,28,25
4.7.2016,35,33,32,31,28,25
11.7.2016,34,33,31,30,26,23
13.7.2016,34,33,31,30,26,23
15.7.2016,34,33,31,30,26,23
22.7.2016,34,33,31,30,26,23
26.7.2016,34,33,31,30,26,23
29.7.2016,34,33,31,30,26,23
8.8.2016,36,35,33,28,25,23
10.8.2016,36,35,33,28,25,23
19.8.2016,37,36,35,34,31,27
9.9.2016,37,36,35,34,33,30
13.9.2016,37,36,35,34,33,30
23.9.2016,37,36,35,34,33,30
27.9.2016,37,36,35,34,33,30
5.10.2016,35,34,33,32,31,28
11.10.2016,35,34,33,32,31,28
14.10.2016,35,34,33,32,31,28
19.10.2016,35,34,33,32,31,28
25.10.2016,35,34,31,30,29,26
8.2.2017,37,36,35,34,33,30
13.2.2017,33,32,31,30,29,26
22.2.2017,33,32,31,30,29,26
28.2.2017,34,33,32,31,30,27
9.3.2017,34,33,32,31,30,27
13.3.2017,30,29,28,27,26,23
22.3.2017,28,27,26,25,24,21
31.3.2017,30,29,28,27,26,23
7.4.2017,28,27,26,25,24,21
17.4.2017,28,27,26,25,24,21
21.4.2017,30,29,27,26,24,21
28.4.2017,32,31,29,28,26,23
5.5.2017,32,31,29,28,26,23
12.5.2017,33,32,30,29,27,24
16.5.2017,33,32,30,29,27,24
26.5.2017,33,32,30,29,27,24
2.6.2017,33,32,30,29,27,24
6.6.2017,33,32,30,29,27,24
12.6.2017,33,32,30,29,27,24
23.6.2017,33,32,30,29,27,24
7.7.2017,33,32,30,29,27,24
11.7.2017,33,32,28,27,24,21
18.7.2017,33,32,30,29,27,24
25.7.2017,33,32,30,29,27,24
1.8.2017,33,32,31,30,29,26
8.8.2017,33,32,31,30,29,26
15.8.2017,33,32,31,30,29,26
22.8.2017,35,34,33,32,31,28
29.8.2017,36,35,34,33,32,29
5.9.2017,38,37,36,35,34,31
22.9.2017,36,35,34,33,32,29
29.9.2017,36,35,34,33,32,29
3.10.2017,36,35,34,33,32,29
10.10.2017,36,35,34,33,32,29
13.10.2017,34,33,32,31,30,27
24.10.2017,32,31,30,29,28,25
31.10.2017,32,31,30,29,28,25
7.11.2017,32,31,30,29,28,25
14.11.2017,34,33,32,31,30,27
21.11.2017,36,35,34,33,32,29
27.11.2017,36,35,34,33,32,29
5.12.2017,36,35,34,33,32,29
12.12.2017,38,37,36,35,34,31
19.12.2017,35,34,33,32,31,28
28.12.2017,38,37,36,35,34,31
2.1.2018,38,37,36,35,34,31
9.1.2018,38,37,36,35,34,31
16.1.2018,38,37,36,35,34,31
23.1.2018,38,37,36,35,34,31
2.2.2018,38,37,36,35,34,31
9.2.2018,36,35,34,33,32,29
14.2.2018,39,38,37,36,35,33
27.2.2018,34,33,32,31,30,27
6.3.2018,34,33,32,31,30,27
14.3.2018,32,31,30,29,28,25
21.3.2018,30,29,28,27,26,23
28.3.2018,30,29,28,27,26,23
3.4.2018,27,26,25,24,23,21
10.4.2018,27,26,25,24,23,21
17.4.2018,29,28,27,26,25,23
25.4.2018,32,31,30,29,28,26
15.5.2018,34,33,32,30,28,26
22.5.2018,34,33,32,30,28,26
8.6.2018,34,33,32,30,28,26
26.6.2018,32,31,30,28,26,24
3.7.2018,32,31,30,28,26,24
10.7.2018,34,33,32,30,28,26
18.7.2018,35,34,33,32,30,28
25.7.2018,35,34,33,32,30,28
3.8.2018,35,34,33,32,30,28
10.8.2018,35,34,33,32,30,28
14.8.2018,37,36,35,34,32,30
24.8.2018,37,36,35,34,32,30
30.8.2018,39,38,37,36,34,32
4.9.2018,39,38,37,36,34,32
12.9.2018,39,38,37,36,34,32
20.9.2018,39,38,37,36,34,32
25.9.2018,39,38,37,36,34,32
2.10.2018,39,38,37,36,34,32
9.10.2018,39,38,37,36,34,32
16.10.2018,39,38,37,36,34,32
23.10.2018,39,38,37,36,34,32
16.11.2018,39,38,37,36,34,32
23.11.2018,41,40,39,38,36,34
04.12.2018,43,42,41,40,38,36
4.1.2019,41,40,39,38,36,34
8.1.2019,41,40,39,38,36,34
18.1.2019,41,40,39,38,36,34
25.1.2019,41,40,39,38,36,34
8.2.2019,43,42,41,40,38,36
15.2.2019,43,42,41,40,38,36
22.2.2019,43,42,41,40,38,36
26.2.2019,43,42,41,40,38,36
4.3.2019,41,40,39,38,36,34
8.3.2019,41,40,39,38,36,34
15.3.2019,41,40,39,38,36,34
22.3.2019,39,38,37,36,34,32
5.4.2019,36,35,33,31,29,27
12.4.2019,36,35,33,31,29,27
19.4.2019,38,37,35,33,29,27
26.4.2019,38,37,35,33,29,27
3.5.2019,38,37,35,33,29,27
10.5.2019,38,37,35,33,29,27
17.5.2019,38,37,35,33,27,27
21.5.2019,41,40,39,38,36,34
28.5.2019,41,40,39,38,36,34
7.6.2019,41,40,39,38,36,34
14.6.2019,41,40,39,38,36,34
21.6.2019,36,35,34,32,28,25
28.6.2019,36,35,34,32,28,25
2.7.2019,36,35,34,32,28,25
12.7.2019,34,33,32,31,29,26
19.7.2019,34,33,32,31,29,26
26.7.2019,36,35,34,33,31,28
9.8.2019,38,37,36,35,32,30
16.8.2019,40,39,38,37,35,32
23.8.2019,40,39,38,37,35,32
30.8.2019,40,39,38,37,35,32
6.9.2019,40,39,38,37,35,32
13.9.2019,40,39,38,37,35,32
20.9.2019,40,39,38,37,35,32
27.9.2019,41,40,39,38,37,34
4.10.2019,41,40,39,38,37,34
11.10.2019,41,40,39,38,37,34
18.10.2019,41,40,39,38,37,34
